name,real_age,faceapi_age,dif
Karen Gillan,32,26,-6
Jon Kortajarena,34,30,-4
Kevin McHale,31,30,-1
Mandy Grace Capristo,29,28,-1
Caity Lotz,33,30,-3
Nicole Gale Anderson,29,18,-11
David Villa,38,32,-6
Shayna Rose,36,24,-12
Tolgahan Sayisman,38,30,-8
Toby Regbo,28,24,-4
Ruth Wilson,37,34,-3
Scott Eastwood,33,30,-3
Kim Matula,31,24,-7
Patrick Schwarzenegger,26,28,2
Lindsey Vonn,35,32,-3
Milana Vayntrub,32,30,-2
Amy Schumer,38,31,-7
Georgia Groome,27,19,-8
Cariba Heine,31,24,-7
Serinda Swan,35,34,-1
Shiloh Fernandez,34,30,-4
Sergio Ramos,33,30,-3
Eve Hewson,28,25,-3
Scott Michael Foster,34,29,-5
Jessica-Jane Stafford,34,28,-6
Selma Ergeç,41,27,-14
Stephen Amell,38,35,-3
Chloe Bridges,28,30,2
Luke Evans,40,34,-6
Tanit Phoenix Copley,39,25,-14
Max Irons,34,28,-6
Naomi Russell,36,25,-11
Burçin Terzioglu,39,30,-9
Jackson Rathbone,35,25,-10
Noah Cyrus,19,21,2
Wilson Bethel,35,33,-2
Amber Lancaster,39,25,-14
Azra Akin,38,29,-9
Daniel Sharman,33,28,-5
Elvana Gjata,32,26,-6
Deanna Russo,40,31,-9
Thelma Fardín,27,23,-4
Anna Torv,40,29,-11
Eliza Taylor,30,26,-4
Paris Jackson,21,25,4
Eden Sher,28,21,-7
Matthew Morrison,41,31,-10
Allison Scagliotti,29,29,0
Daniel Arenas,40,31,-9
Jay Ryan,38,31,-7
Okan Yalabik,13,34,21
Jacqueline Bracamontes,40,33,-7
Jessie J,31,28,-3
Nic Nemeth,39,36,-3
Sinem Kobal,32,26,-6
Caroline Flack,40,31,-9
Nebahat Çehre,75,35,-40
Matt Smith,37,34,-3
Anna Silk,45,29,-16
Natalie J. Robb,45,37,-8
Violante Placido,43,28,-15
Susan Oliver,29,29,0
Lawrence O'Donnell,68,52,-16
Engelbert Humperdinck,83,48,-35
Ashley Graham,32,30,-2
Noel Fielding,46,30,-16
Cansel Elcin,46,35,-11
Hannah Jeter,29,28,-1
Bill Cowher,62,52,-10
Rosa Caracciolo,47,32,-15
Florencia Bertotti,36,33,-3
John Holmes,31,41,10
Nicola Peltz,24,25,1
