name,real_age,faceapi_age,dif
Daul Kim,10,20,10
Connie Chiu,50,25,-25
Han Hye-jin,36,23,-13
Kaori,43,22,-21
Mao Asada,29,18,-11
Na Li,37,25,-12
Jeremy Lin,31,27,-4
Sarah Lian,36,25,-11
Tiffany Espensen,20,19,-1
Yuqi Zhang,33,24,-9
Ran Asakawa,39,22,-17
Jairus Aquino,20,18,-2
Kwok-Kwan Chan,44,30,-14
Yeon-hee Lee,31,23,-8
Constance Wu,37,28,-9
Ye-seul Han,38,23,-15
Ryo Nishikido,35,21,-14
Nami Tamaki,31,23,-8
Fiona Sit,38,21,-17
Rei Yoshii,37,20,-17
Amy Rider,34,26,-8
Kelly Choi,43,32,-11
Julie Chu,37,25,-12
Tyron Perez,8,19,11
Soji Arai,44,27,-17
Marc Abaya,40,31,-9
Hye-jin Han,38,23,-15
Eun-hye Yun,35,22,-13
Ryeo-won Jeong,38,22,-16
Jaycee Chan,37,24,-13
Mayko Nguyen,39,28,-11
Angela Sun,37,26,-11
Na-ra Jang,38,21,-17
Reina,32,23,-9
Boy Abunda,61,51,-10
Christian Vasquez,42,29,-13
Yong-ha Park,9,24,15
Kenji Sakaguchi,44,26,-18
Min-jong Kim,48,34,-14
Mickey Ferriols,46,31,-15
Herbert Bautista,51,39,-12
Nan Yu,41,23,-18
Sammee Tong,55,51,-4
Yoshihiro Tajiri,49,35,-14
Pilar Seurat,18,30,12
Paul Salas,21,18,-3
Rene Requiestas,26,48,22
Kôki Mitani,58,40,-18
Jennie Kwan,46,28,-18
Kazuya Kamenashi,33,25,-8
Betty Loh Ti,51,28,-23
Monsour Del Rosario,54,31,-23
Linh Dan Pham,45,27,-18
Seung-woo Cho,39,34,-5
JuJu Chang,54,34,-20
Biao Yuen,62,33,-29
C.S. Lee,48,38,-10
Diem Lien,48,27,-21
So-yeon Kim,39,28,-11
Tetsuya Nomura,49,24,-25
Grant Imahara,49,31,-18
Pui Fan Lee,48,34,-14
Camille Chen,40,29,-11
Min-woo Lee,40,20,-20
Aya Hirano,32,19,-13
Elaine Wu,47,29,-18
Satoshi Tsumabuki,39,21,-18
Yeong-ae Lee,48,25,-23
Valerie Chow,49,26,-23
Tatsuya Fujiwara,37,20,-17
Miki Nakatani,43,25,-18
Lori Tan Chinn,30,57,27
Kazunari Ninomiya,36,22,-14
Karen Maruyama,61,36,-25
Kam Fong,17,52,35
Joy Bisco,44,28,-16
Jonathan Ke Quan,48,38,-10
Cindy Chiu,39,25,-14
Brittany Ishibashi,39,25,-14
Archie Kao,50,31,-19
Anna Nagata,37,24,-13
Suzanne Whang,57,37,-20
Suwinit Panjamawat,35,23,-12
Soon-Tek Oh,1,46,45
Shin Koyamada,37,30,-7
Paolo Montalban,46,29,-17
Nikki SooHoo,31,23,-8
Miho Shiraishi,41,23,-18
Maki Gotô,34,21,-13
So-Young Ko,47,29,-18
Charlene Choi,37,27,-10
Tzi Ma,57,50,-7
Nana Katase,38,24,-14
Mako,13,58,45
Ken Leung,49,35,-14
Yuka Honda,58,30,-28
Etty Lau,45,34,-11
Yûki Kudô,48,29,-19
Bobby Lee,47,44,-3
Ang Lee,65,51,-14
Ai Hashimoto,23,20,-3
Rei Kikukawa,41,25,-16
Kristy Yeung,45,25,-20
Gina Alajar,60,37,-23
Yuki Matsuoka,49,29,-20
Vivian Chow,52,28,-24
Pauline Chan,17,22,5
Lauren Tom,58,32,-26
Kara Wai,59,26,-33
Haruka Igawa,43,23,-20
Eriko Satô,38,23,-15
